# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.15.2

changepage::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da, boolean, 01
combat.04eed582-96f7-4cbf-b91c-45458810599c, date, 810974696D657374616D70040000019E11928BEC
combat.762a74b1-6700-4e6d-b4c8-12c25729df5e, date, 810974696D657374616D70040000019E0DA80D00
combat.e849c0df-149d-4472-8443-a2e3a1d5c3bd, date, 810974696D657374616D70040000019E119BCAE0
combat.ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da, date, 810974696D657374616D70040000019E11597EBB
deaths::e849c0df-149d-4472-8443-a2e3a1d5c3bd, long, 0000000000000003
deaths::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da, long, 0000000000000002
kills::04eed582-96f7-4cbf-b91c-45458810599c, long, 0000000000000001
kills::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da, long, 0000000000000001
shop::buy::광물::12, integer, 000249F0
shop::items::광물::0, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::1, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::2, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::3, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::4, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::5, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::6, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::7, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::8, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::9, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::10, itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A20454D4552414C440A
shop::items::광물::11, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::12, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204E45544845524954455F494E474F540A
shop::items::광물::13, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::14, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::15, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::16, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::17, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::18, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::19, itemstack, 810576616C756520804B76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A20434F505045525F494E474F540A
shop::items::광물::20, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::21, itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204449414D4F4E440A
shop::items::광물::22, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::23, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::24, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::25, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::26, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::27, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::28, itemstack, 810576616C756520804976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A20474F4C445F494E474F540A
shop::items::광물::29, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::30, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
